rank,canonical_house,origin_short,value,emigre
1,"Glyn, Mills, Currie & Co",Br private,10379153.75,False
2,Union Discount Co. of London,Br discount,10352861.34,False
3,London County & Westminster Bank,Br clearing,9271925.9,False
4,B. W. Blydenstein & Co,German/C.Eur,7082331.32,True
5,National Discount Co.,Br discount,6862189.109999999,False
6,"Reeves, Whitburn & Co",Br private,6174018.93,False
7,Alexanders & Co (discount),Br discount,6159278.99,False
8,Brightwen & Co,Br private,5720211.72,False
9,"Smith, St Aubyn & Co",Br discount,4894544.49,False
10,Union of London & Smiths Bank,Br clearing,4711019.6,False
11,Lloyds Bank,Br clearing,4051027.05,False
12,King & Foa,Greek/Lev,3875752.79,True
13,"Baker, Duncombe & Co",Br private,3677587.4,False
14,National Provincial Bank,Br clearing,3309195.8,False
15,"Allen, Harvey & Ross",Br discount,3087057.8,False
16,National Bank of India,Colonial,2885403.4025,False
17,London & River Plate Bank,Colonial,2805472.55,False
18,Haarbleicher & Schumann,German/C.Eur,2280963.92,True
19,Imperial Ottoman Bank,Foreign 1914,2237876.95,False
20,London Joint Stock Bank,Br clearing,2215691.65,False
