scope,house_a,house_b,origin_a,origin_b,both_emigre,same_origin_group,weight,shared_days
all_crises,Alexanders & Co (discount),British Bank of South America,British: discount house,Colonial / Imperial bank,False,False,0.3069800647022712,11
all_crises,Alexanders & Co (discount),Union Discount Co. of London,British: discount house,British: discount house,False,True,0.4767914993707312,30
all_crises,Alexanders & Co (discount),London County & Westminster Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.5155927941576873,48
all_crises,Alexanders & Co (discount),Parr's Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.5766398588440391,52
all_crises,Alexanders & Co (discount),Union of London & Smiths Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.5700934579439252,61
all_crises,Alexanders & Co (discount),London & River Plate Bank,British: discount house,Colonial / Imperial bank,False,False,0.3217493521030312,12
all_crises,Alexanders & Co (discount),Capital & Counties Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.3645791610798204,16
all_crises,Alexanders & Co (discount),Comptoir National d'Escompte de Paris,British: discount house,Foreign bank (1914 wartime),False,False,0.3628412866097104,18
all_crises,Alexanders & Co (discount),National Provincial Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.4341353708801221,22
all_crises,Alexanders & Co (discount),Royal Bank of Scotland,British: discount house,British: clearing / joint-stock bank,False,False,0.41440194493102567,21
all_crises,Alexanders & Co (discount),Barclay & Co,British: discount house,British: clearing / joint-stock bank,False,False,0.3288528428588413,18
all_crises,Alexanders & Co (discount),Lloyds Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.44193668070658904,32
all_crises,Alexanders & Co (discount),London & South Western Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.4031569851219004,20
all_crises,Alexanders & Co (discount),London Joint Stock Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.35863063499128195,17
all_crises,Alexanders & Co (discount),National Bank of Scotland,British: discount house,British: clearing / joint-stock bank,False,False,0.3797265546966515,18
all_crises,Alexanders & Co (discount),Standard Bank of South Africa,British: discount house,Colonial / Imperial bank,False,False,0.33488734331156855,12
all_crises,Alexanders & Co (discount),Lütgens & Ripley,British: discount house,Emigre: German & Central European,False,False,0.3100454335972811,12
all_crises,Alexanders & Co (discount),Bank of Montreal,British: discount house,Colonial / Imperial bank,False,False,0.3494544034095225,14
all_crises,"Allen, Harvey & Ross",Anglo South American Bank,British: discount house,Colonial / Imperial bank,False,False,0.3458572319330373,10
all_crises,"Allen, Harvey & Ross",B. W. Blydenstein & Co,British: discount house,Emigre: German & Central European,False,False,0.3379631847096873,14
all_crises,"Allen, Harvey & Ross","Baker, Duncombe & Co",British: discount house,British: private / merchant (native),False,False,0.4150286783196448,12
all_crises,"Allen, Harvey & Ross",Brightwen & Co,British: discount house,British: private / merchant (native),False,False,0.3166502481905618,15
all_crises,"Allen, Harvey & Ross",Canadian Bank of Commerce,British: discount house,Colonial / Imperial bank,False,False,0.31980107453341566,6
all_crises,"Allen, Harvey & Ross",King & Foa,British: discount house,Emigre: Greek & Levantine,False,False,0.5350284209791207,23
all_crises,"Allen, Harvey & Ross","Reeves, Whitburn & Co",British: discount house,British: private / merchant (native),False,False,0.3027650354097492,11
all_crises,"Allen, Harvey & Ross","Smith, St Aubyn & Co",British: discount house,British: discount house,False,True,0.3878157674962644,15
all_crises,"Allen, Harvey & Ross","Daniell, Cazenove & Co",British: discount house,British: private / merchant (native),False,False,0.37716825457067865,13
all_crises,"Allen, Harvey & Ross",Gillett Brothers,British: discount house,British: discount house,False,True,0.3392002626499841,9
all_crises,"Allen, Harvey & Ross",National Bank of India,British: discount house,Colonial / Imperial bank,False,False,0.3015113445777636,10
all_crises,"Allen, Harvey & Ross",Union Discount Co. of London,British: discount house,British: discount house,False,True,0.34697711796762676,14
all_crises,"Allen, Harvey & Ross",London County & Westminster Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.502518907629606,30
all_crises,"Allen, Harvey & Ross",Parr's Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.4150286783196448,24
all_crises,"Allen, Harvey & Ross",Comptoir National d'Escompte de Paris,British: discount house,Foreign bank (1914 wartime),False,False,0.3457820374040623,11
all_crises,"Allen, Harvey & Ross","Glyn, Mills, Currie & Co",British: discount house,British: private / merchant (native),False,False,0.35316120701100834,15
all_crises,"Allen, Harvey & Ross",National Provincial Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.338501600193165,11
all_crises,"Allen, Harvey & Ross",Royal Bank of Scotland,British: discount house,British: clearing / joint-stock bank,False,False,0.338501600193165,11
all_crises,"Allen, Harvey & Ross",Lloyds Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.430730492253948,20
all_crises,"Allen, Harvey & Ross",Union of London & Smiths Bank,British: discount house,British: clearing / joint-stock bank,False,False,0.4955194317297256,34
all_crises,Anglo South American Bank,B. W. Blydenstein & Co,Colonial / Imperial bank,Emigre: German & Central European,False,False,0.4040950971038548,11
all_crises,Anglo South American Bank,"Baker, Duncombe & Co",Colonial / Imperial bank,British: private / merchant (native),False,False,0.3684210526315789,7
all_crises,Anglo South American Bank,Brightwen & Co,Colonial / Imperial bank,British: private / merchant (native),False,False,0.3212462831016178,10
